BIOCHEMICAL	SUPER_PATHWAY	SUB_PATHWAY	No_Antibiotics-Mock(median)	Streptomycin-Infected(median)	Streptomycin-Mock(median)	Cefoperzone-Infected(median)	Cefoperzone-Mock(median)	Clindamycin-Infected(median)	Clindamycin-Mock(median)
O-sulfo-L-tyrosine	Xenobiotics	Chemical	0.7047	2.6417	2.2522	1.7563	1.8055	0.6449	0.7078
Oxalate_(ethanedioate)	Cofactors_and_Vitamins	Ascorbate_and_Aldarate_Metabolism	2.2037	0.9003	1.224	0.5022	0.572	0.4003	0.5841
Palmitate_(16:0)	Lipid	Long_Chain_Fatty_Acid	2.3612	0.8485	1	0.5417	0.8653	0.6429	1.0953
Palmitoleate_(16:1n7)	Lipid	Long_Chain_Fatty_Acid	4.2916	0.9487	1.0077	0.5321	0.6137	0.9026	1.1005
Palmitoleoyl-arachidonoyl-glycerol_(16:1/20:4)_[2]*	Lipid	Diacylglycerol	1.1715	0.8997	0.4716	1.1912	1.4404	1.1422	1.2058
Palmitoleoylcarnitine_(C16:1)*	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.4978	0.821	1.3688	0.8929	0.984	0.5602	0.7971
Palmitoleoyl_ethanolamide*	Lipid	Endocannabinoid	1.9333	0.9959	1.1431	0.8392	0.8664	0.888	0.712
Palmitoyl-arachidonoyl-glycerol_(16:0/20:4)_[2]*	Lipid	Diacylglycerol	2.0499	0.8348	0.7523	1.1224	1.266	0.7985	0.6853
Palmitoylcarnitine_(C16)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	1.0802	0.6884	0.72	0.634	0.529	0.8297	0.7617
Palmitoyl_dihydrosphingomyelin_(d18:0/16:0)*	Lipid	Sphingolipid_Metabolism	1.0245	1.2912	1.6968	0.8154	1.3343	0.6777	0.6665
Palmitoyl-docosahexaenoyl-glycerol_(16:0/22:6)_[1]*	Lipid	Diacylglycerol	1.4832	0.906	0.812	1.0803	1.5413	0.7715	0.8496
Palmitoyl-docosahexaenoyl-glycerol_(16:0/22:6)_[2]*	Lipid	Diacylglycerol	0.9648	0.3748	0.3748	0.3748	0.9452	0.3748	0.3748
Palmitoyl_ethanolamide	Lipid	Endocannabinoid	3.0801	0.9933	1.7102	0.8524	0.9044	0.9921	0.8473
Palmitoyl-linolenoyl-glycerol_(16:0/18:3)_[2]*	Lipid	Diacylglycerol	1.6493	0.9282	0.5001	1.1436	1.4821	1.1215	0.7972
Palmitoyl-linoleoyl-glycerol_(16:0/18:2)_[1]*	Lipid	Diacylglycerol	1.0773	0.6882	0.5353	1.0105	1.2801	1.1367	1.2393
Palmitoyl-linoleoyl-glycerol_(16:0/18:2)_[2]*	Lipid	Diacylglycerol	1.6371	0.8811	0.5655	1.2566	1.5604	1.0829	0.9134
Palmitoyl-myristoyl-glycerol_(16:0/14:0)_[2]	Lipid	Diacylglycerol	4.8849	0.9294	0.8057	1.002	1.675	1.2403	0.8891
Palmitoyl-oleoyl-glycerol_(16:0/18:1)_[1]*	Lipid	Diacylglycerol	1.9645	0.6635	0.523	1.0127	1.3411	1.1076	1.1752
Palmitoyl-oleoyl-glycerol_(16:0/18:1)_[2]*	Lipid	Diacylglycerol	1.949	0.9193	0.5322	1.1977	1.7784	1.2127	0.9867
Palmitoyl-palmitoyl-glycerol_(16:0/16:0)_[1]*	Lipid	Diacylglycerol	1.5308	0.7456	0.7633	0.6977	1.1343	0.9847	1.0355
Palmitoyl-palmitoyl-glycerol_(16:0/16:0)_[2]*	Lipid	Diacylglycerol	2.0166	0.867	0.6501	1	1.3175	1.0204	0.778
Palmitoyl_sphingomyelin_(d18:1/16:0)	Lipid	Sphingolipid_Metabolism	1.6527	1.4557	1.4046	0.6526	1.2959	1.001	0.8205
Pantetheine	Cofactors_and_Vitamins	Pantothenate_and_CoA_Metabolism	1.298	2.3773	1.7833	0.0851	0.0851	0.1919	0.108
Pantothenate	Cofactors_and_Vitamins	Pantothenate_and_CoA_Metabolism	5.5996	3.0879	1.9941	0.541	0.8164	2.8482	1.8173
P-cresol_sulfate	Xenobiotics	Benzoate_Metabolism	0.5209	0.8519	0.3939	0.3939	0.3939	1.0502	0.3939
Pentadecanoate_(15:0)	Lipid	Long_Chain_Fatty_Acid	4.0588	1.9343	1.1731	0.6114	0.8262	0.5485	0.8195
Phenol_sulfate	Amino_Acid	Tyrosine_Metabolism	1.7351	0.2102	0.2102	0.2102	0.2102	0.2102	0.2102
Phenylalanine	Amino_Acid	Phenylalanine_Metabolism	1.7176	0.823	1	0.8305	1.5151	0.7454	0.9869
Phenylalanylalanine	Peptide	Dipeptide	1.5406	0.052	1.1366	0.8089	0.8791	0.2764	0.4596
Phenylalanylglycine	Peptide	Dipeptide	5.7711	0.9185	0.793	1.1731	1.3232	0.7164	1.0638
Phenyllactate_(PLA)	Amino_Acid	Phenylalanine_Metabolism	0.0255	0.8829	0.1682	1.2185	2.2909	2.1712	2.4747
Phenylpyruvate	Amino_Acid	Phenylalanine_Metabolism	7.3212	0.9723	0.8461	0.4188	0.8845	1.3471	0.8678
Pheophorbide_A	Xenobiotics	Food_Component/Plant	0.573	0.7702	0.3953	2.7506	3.592	3.0331	2.7278
Phosphate	Energy	Oxidative_Phosphorylation	3.6809	1.0052	1.8785	0.6985	1.2658	0.7704	0.5202
Phytosphingosine	Lipid	Sphingolipid_Metabolism	0.453	0.8669	0.7464	0.9781	1.5331	1.0909	0.9131
Picolinate	Amino_Acid	Tryptophan_Metabolism	2.3276	1.1183	0.7609	1.0231	0.9539	1.3102	1.2463
Pimelate_(heptanedioate)	Lipid	Fatty_Acid,_Dicarboxylate	1.6387	0.4267	0.1727	0.1727	0.1727	0.1727	0.1727
Pimeloylcarnitine/3-methyladipoylcarnitine_(C7-DC)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.0368	1.0747	1.0398	0.8298	1.0949	2.5388	3.0932
Pinitol	Lipid	Inositol_Metabolism	7e-04	1.33	1.3403	0.9276	1.0118	1.2489	1.2739
Pipecolate	Amino_Acid	Lysine_Metabolism	3.2445	1	1.9615	0.5891	1.0917	0.8965	1.3287
Pro-hydroxy-pro	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.0063	0.2948	1.9572	0.8767	2.1466	0.3505	1.6154
Proline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.6985	0.2889	2.2751	0.2611	2.2278	0.3603	1.5583
Prolylglycine	Peptide	Dipeptide	0.1731	0.6104	0.9902	1.0644	1.7875	0.612	1.2775
Propionylcarnitine_(C3)	Lipid	Fatty_Acid_Metabolism_(also_BCAA_Metabolism)	0.6011	0.4151	0.1041	0.1041	0.2903	0.1041	0.1041
Pseudouridine	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	10.1341	0.6887	2.4111	0.2379	0.2099	0.2494	0.0855
Putrescine	Amino_Acid	Polyamine_Metabolism	0.015	3.6867	2.4161	0.0398	0.0439	1.3212	1.7404
Pyridoxal	Cofactors_and_Vitamins	Vitamin_B6_Metabolism	5.634	2.4387	1.6753	0.4781	0.5321	2.0544	1.8583
Pyridoxamine	Cofactors_and_Vitamins	Vitamin_B6_Metabolism	8.1641	3.5251	3.6817	0.1636	0.1346	1.1167	1.2023
Pyridoxate	Cofactors_and_Vitamins	Vitamin_B6_Metabolism	3.4124	0.948	1.0061	0.8602	1.268	1.2164	1.0872
Pyridoxine_(Vitamin_B6)	Cofactors_and_Vitamins	Vitamin_B6_Metabolism	1.0279	4.985	1.4164	0.9381	0.8312	3.0526	2.1428
Pyroglutamine*	Amino_Acid	Glutamate_Metabolism	0.9583	1.1916	0.907	1.0184	1.0785	0.4307	0.6606
Pyrraline	Xenobiotics	Food_Component/Plant	0.9827	0.9154	0.9766	0.8607	1.644	0.5789	0.7866
Pyruvate	Carbohydrate	Glycolysis,_Gluconeogenesis,_and_Pyruvate_Metabolism	0.9548	0.5483	0.7331	0.8332	1.2826	1.798	1.3479
Quinate	Xenobiotics	Food_Component/Plant	0.2513	0.436	0.2432	21.5434	24.0863	0.2065	0.4352
Quinolinate	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	1.1527	0.9907	1.3874	0.7871	0.8638	0.8516	0.9864
Raffinose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.1134	0.4133	0.4589	0.7843	0.4319	3.8316	0.8227
Retinol_(Vitamin_A)	Cofactors_and_Vitamins	Vitamin_A_Metabolism	1.4461	0.3851	0.3851	0.3851	0.3851	0.3851	0.3851
Ribitol	Carbohydrate	Pentose_Metabolism	0.1724	1.205	1.463	0.985	1.1223	1.4101	1.2954
Riboflavin_(Vitamin_B2)	Cofactors_and_Vitamins	Riboflavin_Metabolism	8.5033	1.1346	0.7818	0.3209	0.3209	0.3209	0.4845
Ribonate	Carbohydrate	Pentose_Metabolism	0.0154	0.9037	1.0826	0.863	0.9731	1.1078	1.0931
Ribose	Carbohydrate	Pentose_Metabolism	11.7132	1.9935	1.0443	0.818	0.8049	1.3281	1.2937
Ribulose/xylulose	Carbohydrate	Pentose_Metabolism	1.6434	6.2149	0.8671	1.055	1.6158	0.3632	0.5575
S-1-pyrroline-5-carboxylate	Amino_Acid	Glutamate_Metabolism	1	0.6919	1.0588	1.0792	1.1927	1.3418	1.6609
S-(3-hydroxypropyl)mercapturic_acid_(HPMA)	Xenobiotics	Chemical	0.0757	1.1132	1.3857	0.863	1.3623	1.7281	1.4252
Saccharopine	Amino_Acid	Lysine_Metabolism	0.0811	1.228	1.3258	1.0242	1.122	1.0429	0.9935
Salicylate	Xenobiotics	Drug	2.9107	2.4338	1.3008	0.9965	0.8848	1.1337	0.6271
Sarcosine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	0.8538	0.1025	0.1025	0.1025	0.1025	0.1025	0.1025
Sebacate_(decanedioate)	Lipid	Fatty_Acid,_Dicarboxylate	17.5203	0.8415	0.9306	0.891	0.9299	1.3776	1.2722
Sedoheptulose	Carbohydrate	Pentose_Metabolism	0.2738	0.8382	0.0216	2.2363	2.4393	0.0634	0.0259
Sedoheptulose-7-phosphate	Carbohydrate	Pentose_Phosphate_Pathway	1	0.5574	0.5574	0.5574	0.5574	0.5574	0.5574
Serine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	1.9089	0.7791	0.552	0.9136	2.2809	0.8527	0.832
Serotonin	Amino_Acid	Tryptophan_Metabolism	1.5579	1.0661	1.0024	1.0745	1.1549	1.0707	0.9962
Shikimate	Xenobiotics	Food_Component/Plant	0.0123	0.0375	0.036	1.6026	2.0396	0.0123	0.0437
Sinapate	Xenobiotics	Food_Component/Plant	1.935	5.5482	3.2284	0.6209	1.1939	0.707	0.7872
Soyasaponin_I	Xenobiotics	Food_Component/Plant	0.0173	1.01	1.2851	0.8721	1.2246	1.163	1.1381
Soyasaponin_II_	Xenobiotics	Food_Component/Plant	0.0138	0.9702	1.1608	1.0219	1.1252	1.2193	1.1664
Soyasaponin_III	Xenobiotics	Food_Component/Plant	0.1045	0.9294	1.1219	1.0783	1.0049	0.957	0.9858
Spermidine	Amino_Acid	Polyamine_Metabolism	3.1303	3.3873	3.2784	0.512	0.81	1.0453	1.0368
Sphingadienine*	Lipid	Sphingolipid_Metabolism	1.734	1.5214	1.575	0.8621	0.8719	0.7794	0.514
Sphinganine	Lipid	Sphingolipid_Metabolism	1.9833	0.9189	0.7613	0.7012	1.0481	0.7026	0.7278
Sphingomyelin_(d17:1/16:0,_d18:1/15:0,_d16:1/17:0)*	Lipid	Sphingolipid_Metabolism	4.8912	0.7372	0.7684	0.389	0.389	0.389	0.389
Sphingomyelin_(d18:1/24:1,_d18:2/24:0)*	Lipid	Sphingolipid_Metabolism	1.971	0.3843	0.3843	0.3843	0.3843	0.3843	0.3843
Sphingosine	Lipid	Sphingolipid_Metabolism	1.2182	0.8612	0.7673	0.6846	0.8822	0.905	0.9629
Stachydrine	Xenobiotics	Food_Component/Plant	0.351	1.0252	1.0093	1.2152	1.2494	1.5123	1.3022
Stachyose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.1583	0.21	0.1285	0.7965	0.5661	3.1039	0.9507
Stearate_(18:0)	Lipid	Long_Chain_Fatty_Acid	1.6988	0.8061	1.1216	0.6427	0.9405	0.6064	0.9346
Stearidonate_(18:4n3)	Lipid	Polyunsaturated_Fatty_Acid_(n3_and_n6)	2.7423	0.7928	1.1152	0.4765	0.8693	0.5977	0.6083
Stearoyl-arachidonoyl-glycerol_(18:0/20:4)_[1]*	Lipid	Diacylglycerol	0.6271	0.9665	0.8327	0.7997	1.4539	1.2445	1.1522
Stearoyl-arachidonoyl-glycerol_(18:0/20:4)_[2]*	Lipid	Diacylglycerol	1.0381	1.0584	0.6474	1.0343	1.1942	1.6246	0.9478
Stearoylcarnitine_(C18)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.8896	0.7067	0.8539	0.7181	0.7913	1.3491	1.056
Stearoyl_ethanolamide	Lipid	Endocannabinoid	3.5045	1.0835	2.1075	1	0.9891	0.7939	0.7561
Stearoyl-linoleoyl-glycerol_(18:0/18:2)_[2]*	Lipid	Diacylglycerol	1.3991	0.9562	0.7492	1.2614	1.711	1.3747	0.9272
Stearoyl_sphingomyelin_(d18:1/18:0)	Lipid	Sphingolipid_Metabolism	3.5466	0.6751	0.5891	0.3696	0.3696	0.3696	0.3696
Suberate_(octanedioate)	Lipid	Fatty_Acid,_Dicarboxylate	4.2777	0.9064	1.0315	0.9876	0.8754	1.5069	1.6094
Suberoylcarnitine_(C8-DC)	Lipid	Fatty_Acid_Metabolism(Acyl_Carnitine)	0.2307	0.9891	1.1201	0.8089	0.7064	1.278	1.3682
Succinate	Energy	TCA_Cycle	1	6.9779	9.2087	0.2148	0.213	2.4061	2.0856
Succinimide	Xenobiotics	Chemical	3.8556	1.1334	1.121	1.0087	0.8712	1.001	1.179
Succinylcarnitine_(C4-DC)	Energy	TCA_Cycle	0.1844	1.2924	1.0156	1.0517	1.2112	1.0941	1.0734
Sucrose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.0657	0.219	0.1601	0.9052	0.4414	3.182	2.4875
Sulfate*	Xenobiotics	Chemical	6.5018	1.1255	1.244	1.2084	0.9207	0.8973	0.9398
Syringic_acid	Xenobiotics	Food_Component/Plant	3.5544	1.6283	3.2316	0.679	0.8624	0.631	0.7944
Tartarate	Xenobiotics	Food_Component/Plant	0.157	0.9614	1.0001	0.6833	0.9133	0.4318	0.6242
Tartronate_(hydroxymalonate)	Xenobiotics	Bacterial/Fungal	0.2793	0.9286	1.2168	0.6543	0.9655	0.4499	0.6625
Taurine	Amino_Acid	Methionine,_Cysteine,_SAM_and_Taurine_Metabolism	12.5848	3.3939	4.1226	0.9901	1	0.8942	0.944
Tauro-alpha-muricholate	Lipid	Primary_Bile_Acid_Metabolism	0.1238	0.1238	0.1238	2.0896	1.8145	1.0364	0.9636
Tauro-beta-muricholate	Lipid	Primary_Bile_Acid_Metabolism	1.5178	0.1438	0.1746	0.9865	1.1516	0.856	0.8195
Taurochenodeoxycholate	Lipid	Primary_Bile_Acid_Metabolism	0.8053	0.0673	0.1232	0.8533	0.9407	2.0807	2.4916
Taurochenodeoxycholate_sulfate	Lipid	Secondary_Bile_Acid_Metabolism	0.708	0.6031	0.6476	0.9775	0.91	2.8011	1.9642
Taurocholate	Lipid	Primary_Bile_Acid_Metabolism	0.4872	0.109	0.1316	1.2507	1.368	1.071	1.4374
Taurocholenate_sulfate	Lipid	Secondary_Bile_Acid_Metabolism	0.421	0.0633	0.0633	0.6794	0.6365	1.324	1.1572
Taurohyodeoxycholic_acid	Lipid	Secondary_Bile_Acid_Metabolism	2.1057	0.0887	0.0887	0.5947	0.6724	1.4983	1.9645
Tauroursodeoxycholate	Lipid	Secondary_Bile_Acid_Metabolism	1.0458	0.115	0.1126	1.0142	1.1973	0.787	0.8127
Thiamin_monophosphate	Cofactors_and_Vitamins	Thiamine_Metabolism	11.0225	0.8051	1	0.2666	0.2666	0.3263	0.4
Thiamin_(Vitamin_B1)	Cofactors_and_Vitamins	Thiamine_Metabolism	4.7389	0.6425	0.2586	0.6504	0.9886	0.4352	0.6201
Thioproline	Xenobiotics	Chemical	1.1504	0.2208	2.2936	0.5035	3.6611	0.5038	1.8794
Threonate	Cofactors_and_Vitamins	Ascorbate_and_Aldarate_Metabolism	0.4668	3.1798	2.4083	3.6474	3.8305	0.4975	0.6512
Threonine	Amino_Acid	Glycine,_Serine_and_Threonine_Metabolism	1.4784	0.5449	0.4922	1.665	3.8379	0.5944	0.6335
Threonylphenylalanine	Peptide	Dipeptide	3.7472	1.5452	0.999	0.9162	0.6663	0.413	0.3092
Thymidine	Nucleotide	Pyrimidine_Metabolism,_Thymine_containing	6.4056	2.3672	0.8363	0.5494	0.2936	0.6711	0.3887
Thymine	Nucleotide	Pyrimidine_Metabolism,_Thymine_containing	5.1037	1.4326	0.4409	0.9993	1.3668	0.9227	0.9106
Trans-4-hydroxyproline	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.5694	0.5908	2.4251	0.9269	1.6767	0.4487	1.5548
Trans-nonadecenoate_(tr_19:1)*	Lipid	Long_Chain_Fatty_Acid	1.1708	1.2243	2.5727	0.5229	0.8276	2.227	2.3433
Trans-urocanate	Amino_Acid	Histidine_Metabolism	2.1693	0.6257	0.9518	0.8375	1.2088	1.3112	1.1406
Tricarballylate	Energy	TCA_Cycle	0.3986	0.3986	1.0275	1.0117	0.3986	0.9362	0.4659
Trigonelline_(N'-methylnicotinate)	Cofactors_and_Vitamins	Nicotinate_and_Nicotinamide_Metabolism	0.4014	1.4594	1.5433	1.1495	1	1.1662	1.0351
Trimethylamine_N-oxide	Lipid	Phospholipid_Metabolism	1.5567	1.5227	1.559	0.6298	0.94	0.6148	0.3719
Tryptophan	Amino_Acid	Tryptophan_Metabolism	1.393	0.7713	0.4827	1.0815	2.075	0.7077	0.663
Tryptophylglycine	Peptide	Dipeptide	2.0618	0.6651	1.5676	2.3995	2.2669	0.7333	0.9265
Tyramine	Amino_Acid	Tyrosine_Metabolism	2.2405	1.1415	1.1018	0.9435	1.0369	1.0401	0.9533
Tyrosine	Amino_Acid	Tyrosine_Metabolism	1.714	0.9057	0.8814	0.7654	1.3612	0.6048	0.7141
Tyrosylglycine	Peptide	Dipeptide	2.5172	0.3338	0.7142	0.9064	1.4377	0.3511	0.9157
Undecanedioate	Lipid	Fatty_Acid,_Dicarboxylate	22.3587	0.9302	0.9368	0.9508	1	0.903	0.9266
Uracil	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	13.0389	1.5556	1.1275	0.8523	1.086	1.0386	0.928
Urate	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	0.9323	0.3477	0.2273	4.1938	3.8912	0.7662	0.6049
Urea	Amino_Acid	Urea_cycle;_Arginine_and_Proline_Metabolism	0.0117	0.0117	0.0117	0.6695	0.0117	1.0327	0.5226
Uridine	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	13.5793	1.0674	1.7176	0.2367	0.1688	0.2099	0.2601
Uridine-2',3'-cyclic_monophosphate	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	1.4373	0.045	0.045	0.045	0.045	0.045	0.045
Uridine_5'-monophosphate_(UMP)	Nucleotide	Pyrimidine_Metabolism,_Uracil_containing	1.5157	0.8108	0.9921	0.1931	0.1931	0.1931	0.1931
Ursocholate	Lipid	Secondary_Bile_Acid_Metabolism	1	0.4663	0.4663	0.4663	0.4663	0.4663	0.4663
Ursodeoxycholate	Lipid	Secondary_Bile_Acid_Metabolism	0.0741	1.1573	0.9708	0.0741	0.0741	0.0741	0.0741
Valerate	Lipid	Short_Chain_Fatty_Acid	1.3017	0.035	0.035	0.035	0.035	0.035	0.035
Valine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	1.433	0.5121	1.2324	0.7523	2.5649	0.7089	1.1335
Valine_betaine	Amino_Acid	Leucine,_Isoleucine_and_Valine_Metabolism	0.4385	0.9229	0.9231	0.76	0.933	1.0745	1.0134
Valylglutamine	Peptide	Dipeptide	4.6752	0.8634	0.5959	1.6527	1	0.9556	1.0759
Valylglycine	Peptide	Dipeptide	8.8199	1.6105	0.755	0.9468	1.3305	0.9718	0.971
Valylleucine	Peptide	Dipeptide	7.2097	2.4772	1.226	2.3017	0.8637	0.6818	0.546
Vanillate	Xenobiotics	Food_Component/Plant	0.8422	0.796	1.3115	0.1963	0.1963	0.1963	0.1963
Verbascose	Carbohydrate	Disaccharides_and_Oligosaccharides	0.0277	0.0277	0.0277	0.8194	1.2144	1.968	1.754
Xanthine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	8.1398	1.4847	0.4716	0.4153	1.5449	0.6298	0.4027
Xanthosine	Nucleotide	Purine_Metabolism,_(Hypo)Xanthine/Inosine_containing	2.6046	0.0879	0.0471	0.0471	0.0471	0.0471	0.0471
Xanthurenate	Amino_Acid	Tryptophan_Metabolism	2.7335	0.6067	1.7519	0.2698	0.2698	0.2698	0.2698
