KO_code	Compound_codes
K03431	C06156,C00352
K07012	
K02823	
K01056	
K03216	
K03215	
K03742	
K03705	
K03660	
K03218	
K03667	
K03664	
K09772	
K05833	
K05832	
K06153	C00009,C17556
K02343	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02341	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K02346	
K00533	C00282
K00615	C00231,C00279,C00279,C00231,C00279,C00279,C00231,C00117,C00231,C00117,C00118,C05382,C00117,C00231,C00117,C00117,C00231,C00231,C00117,C00117,C00231,C00279,C00231,C00279,C00231,C00231,C00279,C00231,C00279,C00231,C00279,C00279,C00231,C12215,C12215
K01803	C00111,C00111,C00118,C00111,C00118,C00111,C00111,C00111,C00111
K01736	C00251,C01269,C00251,C00251
K03324	
K09770	
K07708	
K12506	C11435,C11434,C11435,C11453,C11436,C11453
K14260	C00022,C00041,C00041,C00022,C00025,C00025,C00022,C00183,C00183,C00141
K03106	
K03100	
K00852	C00117,C00673
K16787	
K16786	
K16785	
K01897	C00154,C00154,C00154
K00226	C00295,C00337
K01338	
K03496	
K00997	C00229,C00054
K00548	C00073,C00101,C00073,C00073,C00073,C05335
K01890	C03511
K02687	
K01735	C00944,C00944,C00944,C00944
K01790	C00688,C00688,C00688,C00688
K03442	
K01419	
K00948	C00119,C00119,C00117,C00119,C00119,C00119,C00119
K00826	C00233,C00233,C00233,C00123,C00233,C00123,C00233,C00141,C00183,C00141,C00141,C00183,C00141,C00183,C00141,C00671,C00407,C00671,C00407,C00671,C00407,C00671
K00821	C00437,C00437,C01250,C00437,C00437,C04462,C04421,C04462,C04421
K00820	C00352,C00352,C00352
K00943	C00363,C00363,C01346,C00365
K06881	
K01091	C00160,C00160,C00160
K01090	
K06888	
K08884	
K10947	
K11069	
K01524	C01228
K09690	
K01624	C00118,C00111,C00354,C00118,C00111,C00118,C00354,C00111,C00118,C00118,C00118,C00118,C00111,C00111,C00118,C00118,C00111,C00118,C00111,C00118,C00111,C00447,C00447,C00111,C00279,C00447,C00577,C00111,C00111
K02961	
K01667	C00463
K06904	
K16210	
K02469	
K03072	
K03565	
K00762	C00119,C00295,C01103
K00763	C00253,C00253
K00760	C00147,C00020,C00262,C00262,C00144,C00144,C00655,C00655,C00385,C04646,C16615,C16619
K01465	C00438,C00438
K01462	
K00764	C03090,C03090,C00119,C00119
K01703	C02226,C02226,C02226,C02226,C02226,C06032,C02226,C06032,C06032,C06032,C02631,C02631,C02631,C02631,C02631,C04411,C04411,C04411
K03076	
K07749	
K02860	
K07444	
K02864	
K00645	C01209,C00083,C01209
K00640	C00979,C00979,C00065,C00979,C00979,C00979
K06346	
K02049	
K05569	
K17319	
3-TM_region	
K03701	
K03703	
K03702	
K03110	
K03310	
K03499	
K03437	
K01961	C00083,C00083,C00083,C00083,C00083,C00083,C00083,C00083,C04419,C06250,C00083,C00083
K03495	
K03497	
E_subunit	
K16898	
K00003	C00441,C00441,C00441,C00441,C00441,C00441,C00263,C00441,C00441,C00441,C00441,C00441,C00441,C00263
K03797	
K03798	
K03402	
K03406	
K03407	
K03408	
K07742	
