org_code	domain	group	genus	species
saga	Bacteria	Gammaproteobacteria_-_Others	Simiduia	Simiduia_agarivorans
rma	Bacteria	Gammaproteobacteria_-_Others	Ruthia	Candidatus_Ruthia_magnifica
vok	Bacteria	Gammaproteobacteria_-_Others	Vesicomyosocius	Candidatus_Vesicomyosocius_okutanii
gpb	Bacteria	Gammaproteobacteria_-_Others	Unclassified_Gammaproteobacteria	Gamma_proteobacterium_HdN1
nma	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_Z2491_(serogroup_A)
nme	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_MC58_(serogroup_B)
nmp	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_alpha710_(serogroup_B)
nmh	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_H44/76_(serogroup_B)
nmc	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_FAM18_(serogroup_C)
nmn	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_053442_(serogroup_C)
nmt	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_8013_(serogroup_C)
nmi	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_alpha14_(cnl_strain)
nmd	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_G2136_(serogroup_B)
nmm	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_M01-240149_(serogroup_B)
nms	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_M01-240355_(serogroup_B)
nmq	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_M04-240196_(serogroup_B)
nmw	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_WUE_2594_(serogroup_A)
nmz	Bacteria	Betaproteobacteria	Neisseria	Neisseria_meningitidis_NZ-05/33_(serogroup_B)
ngo	Bacteria	Betaproteobacteria	Neisseria	Neisseria_gonorrhoeae_FA_1090
ngk	Bacteria	Betaproteobacteria	Neisseria	Neisseria_gonorrhoeae_NCCP11945
ngt	Bacteria	Betaproteobacteria	Neisseria	Neisseria_gonorrhoeae_TCDC-NG08107
nla	Bacteria	Betaproteobacteria	Neisseria	Neisseria_lactamica
cvi	Bacteria	Betaproteobacteria	Chromobacterium	Chromobacterium_violaceum
lhk	Bacteria	Betaproteobacteria	Laribacter	Laribacter_hongkongensis
pse	Bacteria	Betaproteobacteria	Pseudogulbenkiania	Pseudogulbenkiania_sp._NH8B
rso	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_GMI1000
rsc	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_CFBP2957
rsl	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_PSI07
rsn	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_Po82
rsm	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_CMR15
rse	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_solanacearum_FQY_4
rpi	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_pickettii_12J
rpf	Bacteria	Betaproteobacteria	Ralstonia	Ralstonia_pickettii_12D
reu	Bacteria	Betaproteobacteria	Cupriavidus	Ralstonia_eutropha_JMP134
reh	Bacteria	Betaproteobacteria	Cupriavidus	Ralstonia_eutropha_H16
rme	Bacteria	Betaproteobacteria	Cupriavidus	Cupriavidus_metallidurans
cti	Bacteria	Betaproteobacteria	Cupriavidus	Cupriavidus_taiwanensis
cnc	Bacteria	Betaproteobacteria	Cupriavidus	Cupriavidus_necator
bma	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_mallei_ATCC_23344
bmv	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_mallei_SAVP1
bml	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_mallei_NCTC_10229
bmn	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_mallei_NCTC_10247
bps	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_K96243
bpm	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_1710b
bpl	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_1106a
bpd	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_668
bpr	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_MSHR346
bpse	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_MSHR305
bpz	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_1026b
bpq	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_BPC006
bpk	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_pseudomallei_NCTC_13179
bte	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_thailandensis_E264
btd	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_thailandensis_MSMB121
bvi	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_vietnamiensis
bur	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._383
bcn	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_cenocepacia_AU1054
bch	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_cenocepacia_HI2424
bcm	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_cenocepacia_MC0-3
bcj	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_cenocepacia_J2315
bam	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_ambifaria_AMMD
bac	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_ambifaria_MC40-6
bmu	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_multivorans_ATCC_17616_(JGI)
bmj	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_multivorans_ATCC_17616_(Tohoku)
bct	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_cepacia
bxe	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_xenovorans
bph	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_phymatum
bpy	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_phytofirmans
bgl	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_glumae
bug	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._CCGE1001
bge	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._CCGE1002
bgf	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._CCGE1003
brh	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_rhizoxinica
bgd	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_gladioli
byi	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._YI23
buk	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._KJ006
bpx	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_phenoliruptrix
buo	Bacteria	Betaproteobacteria	Burkholderia	Burkholderia_sp._RPE64
pnu	Bacteria	Betaproteobacteria	Polynucleobacter	Polynucleobacter_sp._QLW-P1DMWA-1
pne	Bacteria	Betaproteobacteria	Polynucleobacter	Polynucleobacter_necessarius
bpe	Bacteria	Betaproteobacteria	Bordetella	Bordetella_pertussis_Tohama_I
bpc	Bacteria	Betaproteobacteria	Bordetella	Bordetella_pertussis_CS
bper	Bacteria	Betaproteobacteria	Bordetella	Bordetella_pertussis_18323
bpa	Bacteria	Betaproteobacteria	Bordetella	Bordetella_parapertussis_12822
bpar	Bacteria	Betaproteobacteria	Bordetella	Bordetella_parapertussis_Bpp5
bbr	Bacteria	Betaproteobacteria	Bordetella	Bordetella_bronchiseptica_RB50
bbm	Bacteria	Betaproteobacteria	Bordetella	Bordetella_bronchiseptica_MO149
bbh	Bacteria	Betaproteobacteria	Bordetella	Bordetella_bronchiseptica_253
bpt	Bacteria	Betaproteobacteria	Bordetella	Bordetella_petrii
bav	Bacteria	Betaproteobacteria	Bordetella	Bordetella_avium
axy	Bacteria	Betaproteobacteria	Achromobacter	Achromobacter_xylosoxidans_A8
axo	Bacteria	Betaproteobacteria	Achromobacter	Achromobacter_xylosoxidans_NH44784-1996
teq	Bacteria	Betaproteobacteria	Taylorella	Taylorella_equigenitalis_MCE9
tea	Bacteria	Betaproteobacteria	Taylorella	Taylorella_equigenitalis_ATCC_35865
teg	Bacteria	Betaproteobacteria	Taylorella	Taylorella_equigenitalis_14/56
tas	Bacteria	Betaproteobacteria	Taylorella	Taylorella_asinigenitalis_MCE3
tat	Bacteria	Betaproteobacteria	Taylorella	Taylorella_asinigenitalis_14/45
put	Bacteria	Betaproteobacteria	Pusillimonas	Pusillimonas_sp._T7-7
aka	Bacteria	Betaproteobacteria	Advenella	Advenella_kashmirensis
rfr	Bacteria	Betaproteobacteria	Rhodoferax	Rhodoferax_ferrireducens
pol	Bacteria	Betaproteobacteria	Polaromonas	Polaromonas_sp._JS666
pna	Bacteria	Betaproteobacteria	Polaromonas	Polaromonas_naphthalenivorans
aav	Bacteria	Betaproteobacteria	Acidovorax	Acidovorax_citrulli
ajs	Bacteria	Betaproteobacteria	Acidovorax	Acidovorax_sp._JS42
dia	Bacteria	Betaproteobacteria	Acidovorax	Acidovorax_ebreus
aaa	Bacteria	Betaproteobacteria	Acidovorax	Acidovorax_avenae_subsp._avenae_ATCC_19860
ack	Bacteria	Betaproteobacteria	Acidovorax	Acidovorax_sp._KKS102
vei	Bacteria	Betaproteobacteria	Verminephrobacter	Verminephrobacter_eiseniae
dac	Bacteria	Betaproteobacteria	Delftia	Delftia_acidovorans
del	Bacteria	Betaproteobacteria	Delftia	Delftia_sp._Cs1-4
vap	Bacteria	Betaproteobacteria	Variovorax	Variovorax_paradoxus_S110
vpe	Bacteria	Betaproteobacteria	Variovorax	Variovorax_paradoxus_EPS
vpd	Bacteria	Betaproteobacteria	Variovorax	Variovorax_paradoxus_B4
ctt	Bacteria	Betaproteobacteria	Comamonas	Comamonas_testosteroni
adn	Bacteria	Betaproteobacteria	Alicycliphilus	Alicycliphilus_denitrificans_BC
adk	Bacteria	Betaproteobacteria	Alicycliphilus	Alicycliphilus_denitrificans_K601
rta	Bacteria	Betaproteobacteria	Ramlibacter	Ramlibacter_tataouinensis
cbx	Bacteria	Betaproteobacteria	Unclassified_Comamonadaceae	Comamonadaceae_bacterium_CR
mpt	Bacteria	Betaproteobacteria	Methylibium	Methylibium_petroleiphilum
har	Bacteria	Betaproteobacteria	Herminiimonas	Herminiimonas_arsenicoxydans
mms	Bacteria	Betaproteobacteria	Minibacterium	Minibacterium_massiliensis
hse	Bacteria	Betaproteobacteria	Herbaspirillum	Herbaspirillum_seropedicae
zin	Bacteria	Betaproteobacteria	Zinderia	Candidatus_Zinderia_insecticola_CARI
cfu	Bacteria	Betaproteobacteria	Collimonas	Collimonas_fungivorans
lch	Bacteria	Betaproteobacteria	Leptothrix	Leptothrix_cholodnii
tin	Bacteria	Betaproteobacteria	Thiomonas	Thiomonas_intermedia
thi	Bacteria	Betaproteobacteria	Thiomonas	Thiomonas_sp._3As
rge	Bacteria	Betaproteobacteria	Rubrivivax	Rubrivivax_gelatinosus
neu	Bacteria	Betaproteobacteria	Nitrosomonas	Nitrosomonas_europaea
net	Bacteria	Betaproteobacteria	Nitrosomonas	Nitrosomonas_eutropha
nit	Bacteria	Betaproteobacteria	Nitrosomonas	Nitrosomonas_sp._AL212
nii	Bacteria	Betaproteobacteria	Nitrosomonas	Nitrosomonas_sp._Is79A3
nmu	Bacteria	Betaproteobacteria	Nitrosospira	Nitrosospira_multiformis
eba	Bacteria	Betaproteobacteria	Aromatoleum	Aromatoleum_aromaticum_EbN1
azo	Bacteria	Betaproteobacteria	Azoarcus	Azoarcus_sp._BH72
aza	Bacteria	Betaproteobacteria	Azoarcus	Azoarcus_sp._KH32C
dar	Bacteria	Betaproteobacteria	Dechloromonas	Dechloromonas_aromatica
tmz	Bacteria	Betaproteobacteria	Thauera	Thauera_sp._MZ1T
dsu	Bacteria	Betaproteobacteria	Azospira	Dechlorosoma_suillum
tbd	Bacteria	Betaproteobacteria	Thiobacillus	Thiobacillus_denitrificans
sdr	Bacteria	Betaproteobacteria	Sulfuricella	Sulfuricella_denitrificans
mfa	Bacteria	Betaproteobacteria	Methylobacillus	Methylobacillus_flagellatus
mmb	Bacteria	Betaproteobacteria	Methylotenera	Methylotenera_mobilis
meh	Bacteria	Betaproteobacteria	Methylotenera	Methylotenera_versatilis
mei	Bacteria	Betaproteobacteria	Methylovorus	Methylovorus_glucosetrophus_SIP3-4
mep	Bacteria	Betaproteobacteria	Methylovorus	Methylovorus_sp._MP688
app	Bacteria	Betaproteobacteria	Accumulibacter	Accumulibacter_phosphatis
tpn	Bacteria	Betaproteobacteria	Tremblaya	Candidatus_Tremblaya_princeps_PCIT
tpq	Bacteria	Betaproteobacteria	Tremblaya	Candidatus_Tremblaya_princeps_PCVAL
slt	Bacteria	Betaproteobacteria	Sideroxydans	Sideroxydans_lithotrophicus
gca	Bacteria	Betaproteobacteria	Gallionella	Gallionella_capsiferriformans
kci	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_crithidii_(ex_Angomonas_deanei_ATCC_30255)
kct	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_crithidii_TCC036E
kbl	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_blastocrithidii_(ex_Strigomonas_culicis)
kbt	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_blastocrithidii_TCC012E
kde	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_desouzaii
kga	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_galatii
kon	Bacteria	Betaproteobacteria	Kinetoplastibacterium	Candidatus_Kinetoplastibacterium_oncopeltii
ndl	Bacteria	Betaproteobacteria	Unclassified_Betaproteobacteria	Candidatus_Nasuia_deltocephalinicola
bprc	Bacteria	Betaproteobacteria	Unclassified_Betaproteobacteria	Beta_proteobacterium_CB
hpy	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_26695
heo	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_26695
hpj	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_J99
hpa	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_HPAG1
hps	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Shi470
hhp	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Shi112
hhq	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Shi169
hhr	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Shi417
hpg	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_G27
hpp	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_P12
hpb	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_B38
hpl	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_B8
hpc	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_PeCan4
hca	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_PeCan18
hpm	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_SJM180
hpe	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_ELS37
hpo	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_35A
hpi	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_908
hpq	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_2017
hpw	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_2018
hpu	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Cuz20
hef	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_F16
hpf	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_F30
heq	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_F32
hex	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_F57
hpt	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Sat464
hpz	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_52
hpv	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_v225d
hpx	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_83
hen	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_SNT49
hph	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Lithuania75
heg	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Gambia94/24
hpn	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_India7
hep	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Puno120
heu	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Puno135
hes	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_SouthAfrica7
hpys	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_SouthAfrica20
hcn	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_HUP-B14
hpd	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_51
hey	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_XZ274
her	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Rif1
hei	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Rif2
hpya	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Aklavik117
hpyk	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_Aklavik86
hpyo	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_OK113
hpyl	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_OK310
hpyr	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_UM032
hpyi	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_UM037
hpyu	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_UM066
hpym	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_UM299
hem	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_pylori_UM298
hhe	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_hepaticus
hac	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_acinonychis
hms	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_mustelae
hfe	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_felis
hbi	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_bizzozeronii
hce	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_cetorum_MIT_00-7128
hcm	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_cetorum_MIT_99-5656
hcp	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_cinaedi_PAGU611
hcb	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_cinaedi_ATCC_BAA-847
hhm	Bacteria	Epsilonproteobacteria	Helicobacter	Helicobacter_heilmannii
wsu	Bacteria	Epsilonproteobacteria	Wolinella	Wolinella_succinogenes
tdn	Bacteria	Epsilonproteobacteria	Sulfurimonas	Sulfurimonas_denitrificans
sua	Bacteria	Epsilonproteobacteria	Sulfurimonas	Sulfurimonas_autotrophica
sku	Bacteria	Epsilonproteobacteria	Sulfuricurvum	Sulfuricurvum_kujiense
sulr	Bacteria	Epsilonproteobacteria	Sulfuricurvum	Uncultured_Sulfuricurvum_sp._RIFRC-1
cje	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_NCTC_11168_=_ATCC_700819
cjb	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_NCTC_11168-BN148
cjj	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_81-176
cju	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_81116
cjn	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_ICDCCJ07001
cji	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_IA3902
cjm	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_M1
cjs	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_S3
cjp	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_PT14
cjej	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_00-2426
cjeu	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_00-2538
cjen	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_00-2544
cjei	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._jejuni_00-2425
cjr	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_RM1221
cjd	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_subsp._doylei_269.97
cjz	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_32488
cjx	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_jejuni_4031
cff	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_fetus
ccv	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_curvus
cha	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_hominis_ATCC_BAA-381
cco	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_concisus_13826
cla	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_lari
ccol	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_coli_76339
ccc	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_coli_CVM_N29710
ccq	Bacteria	Epsilonproteobacteria	Campylobacter	Campylobacter_coli_15-537360
abu	Bacteria	Epsilonproteobacteria	Arcobacter	Arcobacter_butzleri_RM4018
abt	Bacteria	Epsilonproteobacteria	Arcobacter	Arcobacter_butzleri_ED-1
abl	Bacteria	Epsilonproteobacteria	Arcobacter	Arcobacter_butzleri_7h1h
ant	Bacteria	Epsilonproteobacteria	Arcobacter	Arcobacter_nitrofigilis
arc	Bacteria	Epsilonproteobacteria	Arcobacter	Arcobacter_sp._L
sdl	Bacteria	Epsilonproteobacteria	Sulfurospirillum	Sulfurospirillum_deleyianum
sba	Bacteria	Epsilonproteobacteria	Sulfurospirillum	Sulfurospirillum_barnesii
nsa	Bacteria	Epsilonproteobacteria	Nitratifractor	Nitratifractor_salsuginis
nis	Bacteria	Epsilonproteobacteria	Nitratiruptor	Nitratiruptor_sp._SB155-2
sun	Bacteria	Epsilonproteobacteria	Sulfurovum	Sulfurovum_sp._NBC37-1
nam	Bacteria	Epsilonproteobacteria	Nautilia	Nautilia_profundicola
gsu	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_sulfurreducens_PCA
gsk	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_sulfurreducens_KN400
gme	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_metallireducens
gur	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_uraniireducens
glo	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_lovleyi
gbm	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_bemidjiensis
geo	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_sp._FRC-32
gem	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_sp._M21
geb	Bacteria	Deltaproteobacteria	Geobacter	Geobacter_sp._M18
pca	Bacteria	Deltaproteobacteria	Pelobacter	Pelobacter_carbinolicus
ppd	Bacteria	Deltaproteobacteria	Pelobacter	Pelobacter_propionicus
dvu	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_vulgaris_Hildenborough
dvl	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_vulgaris_DP4
dvm	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_vulgaris_Miyazaki_F
dvg	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_vulgaris_RCH1
dde	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_desulfuricans_G20
dds	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_desulfuricans_ATCC_27774
ddn	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_desulfuricans_ND132
dma	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_magneticus
dsa	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_salexigens
das	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_aespoeensis
daf	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_africanus
dhy	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_hydrothermalis
dpi	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_piezophilus
dgg	Bacteria	Deltaproteobacteria	Desulfovibrio	Desulfovibrio_gigas
lip	Bacteria	Deltaproteobacteria	Lawsonia	Lawsonia_intracellularis_PHE/MN1-00
lir	Bacteria	Deltaproteobacteria	Lawsonia	Lawsonia_intracellularis_N343
dba	Bacteria	Deltaproteobacteria	Desulfomicrobium	Desulfomicrobium_baculatum
drt	Bacteria	Deltaproteobacteria	Desulfohalobium	Desulfohalobium_retbaense
bba	Bacteria	Deltaproteobacteria	Bdellovibrio	Bdellovibrio_bacteriovorus_HD100
bbat	Bacteria	Deltaproteobacteria	Bdellovibrio	Bdellovibrio_bacteriovorus_Tiberius
bex	Bacteria	Deltaproteobacteria	Bdellovibrio	Bdellovibrio_exovorus
bmx	Bacteria	Deltaproteobacteria	Bacteriovorax	Bacteriovorax_marinus_SJ
dps	Bacteria	Deltaproteobacteria	Desulfotalea	Desulfotalea_psychrophila
dak	Bacteria	Deltaproteobacteria	Desulfurivibrio	Desulfurivibrio_alkaliphilus
dpr	Bacteria	Deltaproteobacteria	Desulfobulbus	Desulfobulbus_propionicus
dsf	Bacteria	Deltaproteobacteria	Desulfocapsa	Desulfocapsa_sulfexigens
dol	Bacteria	Deltaproteobacteria	Desulfococcus	Candidatus_Desulfococcus_oleovorans
dal	Bacteria	Deltaproteobacteria	Desulfatibacillum	Desulfatibacillum_alkenivorans
dat	Bacteria	Deltaproteobacteria	Desulfobacterium	Desulfobacterium_autotrophicum
dto	Bacteria	Deltaproteobacteria	Desulfobacula	Desulfobacula_toluolica
ade	Bacteria	Deltaproteobacteria	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-C
acp	Bacteria	Deltaproteobacteria	Anaeromyxobacter	Anaeromyxobacter_dehalogenans_2CP-1
afw	Bacteria	Deltaproteobacteria	Anaeromyxobacter	Anaeromyxobacter_sp._Fw109-5
ank	Bacteria	Deltaproteobacteria	Anaeromyxobacter	Anaeromyxobacter_sp._K
mxa	Bacteria	Deltaproteobacteria	Myxococcus	Myxococcus_xanthus
mfu	Bacteria	Deltaproteobacteria	Myxococcus	Myxococcus_fulvus
