KO_code	Compound_codes
K00014	C02637,C00493,C02637,C00493
K07058	
K00016	C00022,C00022,C00186,C00022,C00022,C00109,C05823
K03524	C05921,C05921,C06250,C06250
K03154	
K03624	
K03625	
K03150	
K03151	C15814,C15813
K03621	C00681,C00681,C00681
K03526	C11811,C11811,C11811
K03091	
K03090	
K01791	C00645,C00645,C00645,C01170,C00043
K03092	
K02304	C00748,C00748,C05778,C05778,C05778,C05778
K02013	
K02003	
K02838	
K03803	
K03478	
K15634	C00197,C00197,C00197,C00631,C00197,C00197,C00197,C00197
K03399	C16244,C16244
K06518	
K02343	C00039,C00131,C00039,C00039,C00039,C00039,C00039,C00039
K01874	C02430,C05336
K00278	C00036,C00049,C05840,C05840
K05823	C00666,C00666,C00666,C00666
K03652	
K04096	
K03650	
K03657	
K03654	
K14188	C04260
K00575	
K00574	
K01304	
K02039	
K00971	C00096,C00096,C00636,C00096
K00975	C00498,C00498,C00103,C00498
K00974	
K02650	
K02653	
K02654	
K04477	
K11741	
K06909	
K00878	C04327,C04327
K07636	
K07149	
K00873	C00022,C00008,C00022,C00008,C00022,C00002,C00074,C00074,C00022,C00022,C00035,C00044,C00206,C00206,C00286,C00286,C00022,C00022,C00074
K07099	
K00876	C00055,C00475,C00055,C00475,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C00105,C00299,C00105,C00299,C00105,C00299,C00055,C00475,C00055,C00475,C16634
K00874	C04442,C00204,C04442,C04442
K00052	C00109,C00109,C06032,C00109,C00109,C04236,C04236,C04236,C04236,C00233,C00233
K04487	C15812
K02956	
K04485	
K02954	
K06207	
K02952	
K14228	
K00561	
K14227	
K06201	
K07160	
K02959	
K04488	
K03778	C00022
K01273	
K00882	C05378
K01271	
K01270	C00097,C00037,C00097,C00037,C00037,C05726
K09770	
K02594	C01251,C01251,C01251,C01251,C01251
K01754	C00022,C00065,C00022,C00022,C00014,C00022,C00109,C00109,C00109,C00109,C00109
K06978	
K01756	C00020,C00122,C03794,C04677,C04677,C04677
K02009	
K02008	
K01752	C00022,C00065,C00022,C00022,C00014,C00022,C02218
K07979	
K02005	
K02004	
K02007	
K02006	
K01759	C00546
K01693	C01267,C04666,C01267,C01267
K01409	
K07082	
K00759	C00147,C00020,C00144,C00144,C04051
K00611	C00327,C00327,C00327,C00327
K00616	C00279,C05345,C00279,C05345,C05345,C00279,C00279,C05345,C05345,C00279,C00279
K06871	
K01591	C00105,C00105
K06950	
K07088	
K07467	
K00756	C00178,C00672,C00214,C00106,C00106,C00475,C00380,C00106,C00106
K07574	
K00837	
K08600	
K08602	
K07056	
K03703	
K14138	C00237,C00101,C00024,C00237,C00440,C00101,C00024
K09762	
K01056	
K06379	
K10819	
K08070	
K06374	
K06373	
K03723	
K02500	C04666,C04677,C04666,C04666,C04666
K02501	C04666,C04677,C04666,C04666,C04666
K02502	C00119,C02739,C00119,C02739
K07496	
K07491	
K14170	C00079,C00166,C00166,C00254,C00166,C00166,C00254,C00251,C00254,C00254
K00800	C01269,C03175,C01269,C01269
K06942	
K02217	C14819
K06217	
K03702	
K07240	
K00691	C00031,C00663,C00031
K01938	C00234,C00234,C00234,C00058,C00234,C00234
K01939	C03794,C03794,C00130
K01628	C00424
K11203	
K11202	
K01933	C03373,C03373,C03373
K03734	
K00058	C03232,C03232,C03232,C03232,C03232,C03232
K00059	C05744,C05744,C04618,C04619,C05753,C04619,C04620,C05750,C04620,C04633,C05762,C04633,C04688,C04688,C04688,C05747,C05747,C05747,C05757,C05757,C05757,C16217,C16217,C16220,C16220,C16220,C20373,C20373,C20377,C20377
K06971	
K02990	
K11752	C04454,C04454,C01268,C01268
K00057	C00111,C00111
K12941	
K00359	
