KO_code	Compound_codes
K05523	
K05522	
K05521	
K05526	C05931
K06894	
K06895	
K07235	
K11894	
K07236	
K11893	
K13954	C00226,C00469,C00469,C00469,C00469,C05576,C05577,C06611,C06613,C06611,C06612,C16348,C06612,C14089,C14089,C14089,C02909,C02909,C02909
K04335	
K01089	C01100,C01100,C01100,C01100,C04666,C01267,C04666,C04666
K02990	
K08281	C00153,C00253
K09969	
K10985	C02262
K08322	
K09808	
K01630	C00679,C00022,C01146
K08289	C03838,C00234,C00101,C03838,C03838,C00445,C00101
K11071	
K11072	
K07173	C03539,C03539
K01464	C00429,C00429,C00429,C00429,C00906,C00906,C16630
K00322	C00003,C00003
K01271	
K03578	
K03579	
K03577	
K02573	
K01270	C01419,C01419,C05729
K11391	
K02574	
K03571	
K01659	C00100
K05776	
K00048	C01380,C01380,C00583
K01714	C00441,C00441,C00441,C00441,C00441
K05966	
K05964	
K01719	C01024,C01024,C01024
K01652	C00022,C00022,C00068,C00068,C00022,C00068,C00022,C00068,C00022,C00022,C00022,C00022,C06010,C06010,C00022,C00022,C05125,C00109,C00022,C00022,C00109,C00109,C00109,C00109
K00574	
K02874	
K03973	
K02876	
K08641	
K02871	
K00658	C15973,C00091,C06157,C00527,C00026
K05815	
K00656	C00058,C00024,C00022,C00022,C00109
K00657	C00134,C00134
K00655	C00681,C00040,C00040,C00681,C00416
K02878	
K02879	
K02083	C00499,C00499
K02199	
K02056	
K13378	
K02054	
K02055	
K02193	
K03502	
K02058	
K10823	
K02195	
K02194	
K03600	
K03718	
K07786	
K03893	
K06871	
K00087	C00262,C00262,C00385,C00385,C00385
K01129	C00286
K03711	
K03717	
K07029	
K01870	C00407
K03488	
K01872	C00041
K00549	C00155,C00155,C00155,C00155,C05698
K02804	C00140
K02173	
K01876	C00049
K03482	
K09807	
K09747	
K03487	
K00151	C04642,C04642,C04642
K05995	
K04026	
K01972	
K01753	C00740
K01974	
K01975	
K03476	C16186,C16186,C16186
K03475	C00072,C00072,C00072
K14056	
K03473	C03393,C03393
K03472	C00279,C00279
K03808	
K03470	
K03807	
K00484	C00642,C00642,C00642,C05593
K07058	
K02036	
K03624	
K03625	
K03150	
K03623	
K03152	
K08325	
K02015	
K03628	
K03629	
K02372	C04618,C04618,C04618,C04619,C04619,C04619,C04620,C04620,C04620,C04633,C04633,C04633,C04688,C04688,C04688,C05747,C05747,C05747,C05757,C05757,C05757,C16220,C16220,C16220,C20373,C20373,C20377
K10124	
K11921	
K02302	C05778,C05778,C00748,C01051,C01051,C01051,C02463,C02463,C02463
K02300	
K02301	C00032,C00032
K01042	C06481,C05172,C06481
K11927	
K11931	
K00275	C00647,C00018,C00627,C00627,C00534,C00250,C00314,C00250
K00276	C00483,C01888,C05332,C00986,C02723,C02723,C02723,C03758,C03758,C03758,C03758,C01672,C01672,C01672
K04651	
K04656	
K11934	
K15773	
K09914	
K05877	
K05876	
K00278	C00049,C00036,C00049,C00049
K06949	
K04096	
K03650	
K03657	
K07141	
K03654	
K16263	
